title,url,ratings,rated,reviews,description,subjects,institutions,instructors,Basic Info,Commitment,Hardware Req,Language,Level,scrape_date
Machine Learning,https://www.coursera.org/learn/machine-learning,74001.0,4.9,18573.0,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome. Machine learning is so pervasive today that you probably use it dozens of times a day without knowing it. Many researchers also think it is the best way to make progress towards human-level AI. In this class, you will learn about the most effective machine learning techniques, and gain practice implementing them and getting them to work for yourself. More importantly, you'll learn about not only the theoretical underpinnings of learning, but also gain the practical know-how needed to quickly and powerfully apply these techniques to new problems. Finally, you'll learn about some of Silicon Valley's best practices in innovation as it pertains to machine learning and AI.

This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that you'll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas.","['Home', 'Data Science', 'Machine Learning']",Created by:  Stanford University,"['Taught by:\xa0\xa0Andrew Ng, Co-founder, Coursera; Adjunct Professor, Stanford University; formerly head of Baidu AI Group/Google Brain']",,,,"English, Subtitles: Spanish, Hindi, Japanese, Chinese (Simplified)",,2018-05-30
Programming for Everybody (Getting Started with Python),https://www.coursera.org/learn/python,37451.0,4.8,10118.0,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook “Python for Everybody”.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.","['Home', 'Computer Science', 'Software Development']",Created by:  University of Michigan,"['Taught by:\xa0\xa0Charles Severance, Associate Professor']",Course 1 of 5 in the Python for Everybody Specialization ,2-4 hours/week,,"English, Subtitles: German, Chinese (Simplified)",,2018-05-30
Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/learn/learning-how-to-learn,35227.0,4.8,10265.0,"This course gives you easy access to the invaluable learning techniques used by experts in art, music, literature, math, science, sports, and many other disciplines. We’ll learn about the how the brain uses two very different learning modes and how it encapsulates (“chunks”) information. We’ll also cover illusions of learning, memory techniques, dealing with procrastination, and best practices shown by research to be most effective in helping you master tough subjects.  

Using these approaches, no matter what your skill levels in topics you would like to master, you can change your thinking and change your life. If you’re already an expert, this peep under the mental hood will give you ideas for: turbocharging successful learning, including counter-intuitive test-taking tips and insights that will help you make the best use of your time on homework and problem sets. If you’re struggling, you’ll see a structured treasure trove of practical techniques that walk you through what you need to do to get on track. If you’ve ever wanted to become better at anything, this course will help serve as your guide.

This course can be taken independent of, concurrent with, or prior to, its companion course, Mindshift. (Learning How to Learn is more learning focused, and Mindshift is more career focused.)

 To join the fully translated Portuguese version of the course, visit: https://www.coursera.org/learn/aprender
 To join the fully translated Spanish version of the course, visit: https://www.coursera.org/learn/aprendiendo-a-aprender
 To join the fully translated Chinese version of the course, visit: https://www.coursera.org/learn/ruhe-xuexi","['Home', 'Personal Development']",Created by:  University of California San Diego,"['Taught by:\xa0\xa0Dr. Barbara Oakley, Ramón y Cajal Distinguished Scholar of Global Digital Learning, McMaster University', 'Taught by:\xa0\xa0Dr. Terrence Sejnowski, Francis Crick Professor at the Salk Institute for Biological Studies', 'Taught by:\xa0\xa0Linda Walker']",,"about 3 hours of video, 3 hours of exercises, 3 hours of bonus material",,"English, Subtitles: Tamil, Arabic, French, Bengali, Ukrainian, Portuguese (European), Serbian, Chinese (Simplified), Greek, Italian, Portuguese (Brazilian), Vietnamese, Dutch, Estonian, German, Russian, Thai, Spanish, Romanian, Persian, Polish",,2018-05-30
Neural Networks and Deep Learning,https://www.coursera.org/learn/neural-networks-deep-learning,29121.0,4.9,5973.0,"If you want to break into cutting-edge AI, this course will help you do so. Deep learning engineers are highly sought after, and mastering deep learning will give you numerous new career opportunities. Deep learning is also a new ""superpower"" that will let you build AI systems that just weren't possible a few years ago. 

In this course, you will learn the foundations of deep learning. When you finish this class, you will:
- Understand the major technology trends driving Deep Learning
- Be able to build, train and apply fully connected deep neural networks 
- Know how to implement efficient (vectorized) neural networks 
- Understand the key parameters in a neural network's architecture 

This course also teaches you how Deep Learning actually works, rather than presenting only a cursory or surface-level description. So after completing it, you will be able to apply deep learning to a your own applications. If you are looking for a job in AI, after this course you will also be able to answer basic interview questions. 

This is the first course of the Deep Learning Specialization.","['Home', 'Data Science', 'Machine Learning']",Created by:  deeplearning.ai,"['Taught by:\xa0\xa0Andrew Ng, Co-founder, Coursera; Adjunct Professor, Stanford University; formerly head of Baidu AI Group/Google Brain', 'Taught by:\xa0\xa0Head Teaching Assistant - Kian Katanforoosh, Adjunct Lecturer at Stanford University, deeplearning.ai, Ecole Centrale Paris', 'Taught by:\xa0\xa0Teaching Assistant - Younes Bensouda Mourri, Mathematical & Computational Sciences, Stanford University, deeplearning.ai']",Course 1 of 5 in the Deep Learning Specialization ,"4 weeks of study, 3-6 hours a week",,"English, Subtitles: Chinese (Traditional), Chinese (Simplified), Portuguese (Brazilian), Japanese",Intermediate,2018-05-30
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",https://www.coursera.org/learn/deep-neural-network,18524.0,4.9,2117.0,"This course will teach you the ""magic"" of getting deep learning to work well. Rather than the deep learning process being a black box, you will understand what drives performance, and be able to more systematically get good results. You will also learn TensorFlow. 

After 3 weeks, you will: 
- Understand industry best-practices for building deep learning applications. 
- Be able to effectively use the common neural network ""tricks"", including initialization, L2 and dropout regularization, Batch normalization, gradient checking, 
- Be able to implement and apply a variety of optimization algorithms, such as mini-batch gradient descent, Momentum, RMSprop and Adam, and check for their convergence. 
- Understand new best-practices for the deep learning era of how to set up train/dev/test sets and analyze bias/variance
- Be able to implement a neural network in TensorFlow. 

This is the second course of the Deep Learning Specialization.","['Home', 'Data Science', 'Machine Learning']",Created by:  deeplearning.ai,"['Taught by:\xa0\xa0Andrew Ng, Co-founder, Coursera; Adjunct Professor, Stanford University; formerly head of Baidu AI Group/Google Brain', 'Taught by:\xa0\xa0Head Teaching Assistant - Kian Katanforoosh, Adjunct Lecturer at Stanford University, deeplearning.ai, Ecole Centrale Paris', 'Taught by:\xa0\xa0Teaching Assistant - Younes Bensouda Mourri, Mathematical & Computational Sciences, Stanford University, deeplearning.ai']",Course 2 of 5 in the Deep Learning Specialization ,"3 weeks, 3-6 hours per week",,"English, Subtitles: Chinese (Traditional), Chinese (Simplified)",Beginner,2018-05-30
Structuring Machine Learning Projects,https://www.coursera.org/learn/machine-learning-projects,15204.0,4.8,1793.0,"You will learn how to build a successful machine learning project. If you aspire to be a technical leader in AI, and know how to set direction for your team's work, this course will show you how.

Much of this content has never been taught elsewhere, and is drawn from my experience building and shipping many deep learning products. This course also has two ""flight simulators"" that let you practice decision-making as a machine learning project leader. This provides ""industry experience"" that you might otherwise get only after years of ML work experience.

After 2 weeks, you will: 
- Understand how to diagnose errors in a machine learning system, and 
- Be able to prioritize the most promising directions for reducing error
- Understand complex ML settings, such as mismatched training/test sets, and comparing to and/or surpassing human-level performance
- Know how to apply end-to-end learning, transfer learning, and multi-task learning

I've seen teams waste months or years through not understanding the principles taught in this course. I hope this two week course will save you months of time.

This is a standalone course, and you can take this so long as you have basic machine learning knowledge. This is the third course in the Deep Learning Specialization.","['Home', 'Data Science', 'Data Analysis']",Created by:  deeplearning.ai,"['Taught by:\xa0\xa0Andrew Ng, Co-founder, Coursera; Adjunct Professor, Stanford University; formerly head of Baidu AI Group/Google Brain', 'Taught by:\xa0\xa0Head Teaching Assistant - Kian Katanforoosh, Adjunct Lecturer at Stanford University, deeplearning.ai, Ecole Centrale Paris', 'Taught by:\xa0\xa0Teaching Assistant - Younes Bensouda Mourri, Mathematical & Computational Sciences, Stanford University, deeplearning.ai']",Course 3 of 5 in the Deep Learning Specialization ,"2 weeks of study, 3-4 hours/week","None currently, unless you'd like to download Jupyter Notebooks locally for offline work.","English, Subtitles: Chinese (Traditional), Chinese (Simplified)",Beginner,2018-05-30
The Data Scientist’s Toolbox,https://www.coursera.org/learn/data-scientists-tools,14315.0,4.5,2928.0,"In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, GitHub, R, and RStudio.","['Home', 'Data Science', 'Data Analysis']",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Jeff Leek, PhD, Associate Professor, Biostatistics', 'Taught by:\xa0\xa0Roger D. Peng, PhD, Associate Professor, Biostatistics', 'Taught by:\xa0\xa0Brian Caffo, PhD, Professor, Biostatistics']",Course 1 of 10 in the Data Science Specialization ,1-4 hours/week,,"English, Subtitles: French, Chinese (Simplified), Greek, Italian, Portuguese (Brazilian), Vietnamese, Russian, Turkish, Hebrew",,2018-05-30
Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data,13690.0,4.8,2778.0,"This course will show how one can treat the Internet as a source of data.  We will scrape, parse, and read web data as well as access data using web APIs.  We will work with HTML, XML, and JSON data formats in Python.  This course will cover Chapters 11-13 of the textbook “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-10 of the textbook and the first two courses in this specialization.  These topics include variables and expressions, conditional execution (loops, branching, and try/except), functions, Python data structures (strings, lists, dictionaries, and tuples), and manipulating files.  This course covers Python 3.","['Home', 'Computer Science', 'Software Development']",Created by:  University of Michigan,"['Taught by:\xa0\xa0Charles Severance, Associate Professor']",Course 3 of 5 in the Python for Everybody Specialization ,"6 weeks of study, 2-4 hours/week",,English,,2018-05-30
Convolutional Neural Networks,https://www.coursera.org/learn/convolutional-neural-networks,10432.0,4.8,1489.0,"This course will teach you how to build convolutional neural networks and apply it to image data. Thanks to deep learning, computer vision is working far better than just two years ago, and this is enabling numerous exciting applications ranging from safe autonomous driving, to accurate face recognition, to automatic reading of radiology images. 

You will:
- Understand how to build a convolutional neural network, including recent variations such as residual networks.
- Know how to apply convolutional networks to visual detection and recognition tasks.
- Know to use neural style transfer to generate art.
- Be able to apply these algorithms to a variety of image, video, and other 2D or 3D data.

This is the fourth course of the Deep Learning Specialization.","['Home', 'Data Science', 'Machine Learning']",Created by:  deeplearning.ai,"['Taught by:\xa0\xa0Andrew Ng, Co-founder, Coursera; Adjunct Professor, Stanford University; formerly head of Baidu AI Group/Google Brain', 'Taught by:\xa0\xa0Head Teaching Assistant - Kian Katanforoosh, Adjunct Lecturer at Stanford University, deeplearning.ai, Ecole Centrale Paris', 'Taught by:\xa0\xa0Teaching Assistant - Younes Bensouda Mourri, Mathematical & Computational Sciences, Stanford University, deeplearning.ai']",Course 4 of 5 in the Deep Learning Specialization ,"4 weeks of study, 4-5 hours/week","None currently, unless you'd like to download Jupyter Notebooks locally for offline work.","English, Subtitles: Chinese (Traditional)",Intermediate,2018-05-30
Using Databases with Python,https://www.coursera.org/learn/python-databases,8340.0,4.8,1465.0,"This course will introduce students to the basics of the Structured Query Language (SQL) as well as basic database design for storing data as part of a multi-step data gathering, analysis, and processing effort.  The course will use SQLite3 as its database.  We will also build web crawlers and multi-step data gathering and visualization processes.  We will use the D3.js library to do basic data visualization.  This course will cover Chapters 14-15 of the book “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-13 of the textbook and the first three courses in this specialization. This course covers Python 3.","['Home', 'Computer Science', 'Software Development']",Created by:  University of Michigan,"['Taught by:\xa0\xa0Charles Severance, Associate Professor']",Course 4 of 5 in the Python for Everybody Specialization ,"5 weeks of study, 2-3 hours/week",,English,,2018-05-30
