Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,2-3 hours of study per week ,,Pass all graded assignments to complete the course.,English,Beginner,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Throughout the world, writing serves to express, record and even create meaningful moments. In academic spaces, writing becomes the bridge between ourselves and the world of ideas. In this course, we provide practical insights into how to write an academic essay. We show you how to develop the academic skills needed to be a  competent academic writer. You will have an opportunity to engage with texts written by academics, and to see how some of the ideas in these texts are used by students in constructing an academic essay. We address some of the challenges these students face with respect to academic writing and offer you the opportunity to practice and to develop your own writing style. For this course, we centre our lessons around a specific topic - the concept of identity, since it forms such an important feature of how we locate ourselves in an ever-changing global world. In other words, this course teaches academic writing skills through getting you to write and reflect on your understanding of identity. So if you are thinking about studying at a tertiary institution, or if you just want to brush up on your academic essay writing skills, this course is for you!",Created by:  University of Cape Town,"['Taught by:\xa0\xa0Gideon Nomdo, Lecturer ', 'Taught by:\xa0\xa0Aditi Hunma, Lecturer']",Rated 4.7 out of 5 of 32 ratings,See all 5 reviews,2018-05-30,"['Home', 'Language Learning', 'Learning English']",Writing your World: Finding yourself in the academic space ,https://www.coursera.org/learn/writing-your-world
Course 1 of 4 in the Introduction to Applied Cryptography Specialization ,This is Course 1 in a 4-course specialization. Estimated workload: 15-hours per week.,,Pass all graded assignments to complete the course.,English,Beginner,4.5 starsAverage User Rating 4.5See what learners said,"About this course: Welcome to Introduction to Applied Cryptography.  Cryptography is an essential component of cybersecurity. The need to protect sensitive information and ensure the integrity of industrial control processes has placed a premium on cybersecurity skills in today’s information technology market.  Demand for cybersecurity jobs is expected to rise 6 million globally by 2019, with a projected shortfall of 1.5 million, according to Symantec, the world’s largest security software vendor. According to Forbes, the cybersecurity market is expected to grow from $75 billion in 2015 to $170 billion by 2020. In this specialization, you will learn basic security issues in computer communications, classical cryptographic algorithms, symmetric-key cryptography, public-key cryptography, authentication, and digital signatures. These topics should prove especially useful to you if you are new to cybersecurity Course 1, Classical Cryptosystems, introduces you to basic concepts and terminology related to cryptography and cryptanalysis. It is recommended that you have a basic knowledge of computer science and basic math skills such as algebra and probability.",Created by:  University of Colorado System,"['Taught by:\xa0\xa0William Bahn, Lecturer', 'Taught by:\xa0\xa0Richard White, Assistant Research Professor', 'Taught by:\xa0\xa0Sang-Yoon Chang, Assistant Professor']",Rated 4.5 out of 5 of 40 ratings,See all 7 reviews,2018-05-30,"['Home', 'Computer Science', 'Computer Security and Networks']",Classical Cryptosystems and Core Concepts,https://www.coursera.org/learn/classical-cryptosystems
,"7 weeks of study, 1-3 hours/week",,Pass all graded assignments to complete the course.,English,,3.9 starsAverage User Rating 3.9See what learners said,"About this course: This course is designed to provide you with an understanding of the role of data and technology in human capital management. Every topic in the course will be covered in the most practical way so that learners get hands-on experience. In the course we use the 4Ts principle: Task, Theory, Technique and Technology so that there is always a connection to organizational performance objectives, an overview of underlying theories and principles, and specific tools which help achieve business objectives.

You will learn 
●	what combination of data, technologies, and tools can be used in people management processes to improve organization’s performance
●	how to use some of these tools and how to select the ones that suit your objectives and budget
●	to design individual and team development plans and measure its ROI for the organization
●	how to figure out the qualities that lead employees to their best performance so you know what to encourage in current and look for in new employees
●	how to identify the right channels to recruit your employees or team members
●	what combination of monetary and non-monetary motivation tools work best for your organization 
●	how to predict what people will leave in the near future and how to make sure some of them stay
●	how to measure engagement and make a strong organizational culture improve performance",Created by:  Moscow Institute of Physics and Technology,"['Taught by:\xa0\xa0Ilya Breyman, Adjunct Professor', 'Taught by:\xa0\xa0Alexey Dolinskiy, Adjunct Professor']",Rated 3.9 out of 5 of 57 ratings,See all 14 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Introduction to People Analytics,https://www.coursera.org/learn/people-analytics
,,,Pass all graded assignments to complete the course.,English,Beginner,4.9 starsAverage User Rating 4.9See what learners said,"About this course: The course is designed for people that want to learn about the latest development agenda the international community agreed to achieve by 2030. Structured around the five pillars of Agenda 2030 – people, prosperity, planet, peace and justice, and partnership, students will learn that these pillars are interconnected and need to be integrated in practical policy-making and operational activities for development, in both developed and developing country settings. Following an introductory module on the main concepts of Agenda 2030 and the SDGs, successive modules will provide the foundation behind the SDGs for people, prosperity and planet, peace and partnership. A final module will explore the way forward and provide channels that the young generation can participate to integrate the SDGs in the policy-making of the students’ resident countries.

To get a better idea of our course, we welcome you to take a look at our promotional video: https://www.youtube.com/watch?v=KATSb73TeB4",Created by:  Yonsei University,"['Taught by:\xa0\xa0Ban Ki-moon, Distinguished Chair Professor ']",Rated 4.9 out of 5 of 12 ratings,See all 4 reviews,2018-05-30,"['Home', 'Social Sciences', 'Governance and Society']",Sustainable Development in the 21st Century with Ban Ki-moon,https://www.coursera.org/learn/sustainable-development-ban-ki-moon
Course 2 of 5 in the Desarrollo y Diseño de Videojuegos Specialization ,"4 semanas, 4 a 6 horas a la semana",,Pass all graded assignments to complete the course.,"Spanish, Subtitles: English",Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: ¡Hola!
 
¡Bienvenidos a Diseño de videojuegos: una introducción! El diseño de videojuegos es el arte de aplicar conceptos de diseño para crear la interacción entre jugadores. Es un ejercicio mental que requiere varios conocimientos en diferentes campos y la habilidad de comunicar qué es lo que se quiere lograr.
 
Este curso hace parte del Programa desarrollo y diseño de videojuegos, de la Universidad de lo Andes, Colombia. En este ambiente de aprendizaje los estudiantes aprenderán las bases del diseño de videojuegos, aplicarán éstas al diseño de juegos de acción y de plataformas en 2D y prepararán una especificación funcional en un documento de 10 puntos y no más de 10 páginas. Al final deben presentar un prototipo funcional en Unity del juego.
 
Se recomienda que los participantes hayan visto el curso de ""Desarrollo de videojuegos en Unity: una Introducción"", pues para el desarrollo de los prototipos deberán tener conocimientos de programación en este motor de desarrollo de ambientes lúdicos y bajo control del usuario.

Ten en cuenta que este curso ha sido diseñado como el segundo de cinco cursos que hacen parte del programa especializado en Desarrollo y Diseño de Videojuegos. Puedes tomar todos los cursos por separado o sólo uno de ellos, sin embargo te recomendamos que te inscribas y participes en los cinco, ojalá en el orden que te proponemos, de manera que llegues al último curso denominado ""Desarrollo y Diseño de Videojuegos: proyecto final"" preparado para aplicar los conocimientos adquiridos en los cursos anteriores. 

Para inscribirte únicamente a este curso debes ir a la página del mismo: https://www.coursera.org/learn/diseno-videojuegos-intro/home/welcome. Haz click en el botón azul de la izquierda ""Enroll now"" o ""Inscribirse ahora"", donde podrás elegir si deseas tomar el curso pagando por la certificación con una suscripción mensual o anual, en cuyo caso debes hacer unas evaluaciones adicionales obligatorias y cumplir con los otros requisitos de certificación; o si deseas auditarlo, es decir acceder al contenido sin pagar por el certificado o suscripción.",Created by:  Universidad de los Andes,"['Taught by:\xa0\xa0Gabriel Vasco, Profesor de cátedra']",Rated 4.6 out of 5 of 113 ratings,See all 42 reviews,2018-05-30,"['Home', 'Computer Science', 'Design and Product']",Diseño de Videojuegos: Una introducción,https://www.coursera.org/learn/diseno-videojuegos-intro
Course 4 of 5 in the Functional Programming in Scala Specialization ,,,Pass all graded assignments to complete the course.,English,,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Manipulating big data distributed over a cluster using functional concepts is rampant in industry, and is arguably one of the first widespread industrial uses of functional ideas. This is evidenced by the popularity of MapReduce and Hadoop, and most recently Apache Spark, a fast, in-memory distributed collections framework written in Scala. In this course, we'll see how the data parallel paradigm can be extended to the distributed case, using Spark throughout. We'll cover Spark's programming model in detail, being careful to understand how and when it differs from familiar programming models, like shared-memory parallel collections or sequential Scala collections. Through hands-on examples in Spark and Scala, we'll learn when important issues related to distribution like latency and network communication should be considered and how they can be addressed effectively for improved performance.

Learning Outcomes. By the end of this course you will be able to:

- read data from persistent storage and load it into Apache Spark,
- manipulate data with Spark and Scala,
- express algorithms for data analysis in a functional style, 
- recognize how to avoid shuffles and recomputation in Spark,

Recommended background: You should have at least one year programming experience. Proficiency with Java or C# is ideal, but experience with other languages such as C/C++, Python, Javascript or Ruby is also sufficient. You should have some familiarity using the command line. This course is intended to be taken after Parallel Programming: https://www.coursera.org/learn/parprog1.",Created by:  École Polytechnique Fédérale de Lausanne,"['Taught by:\xa0\xa0Dr. Heather Miller, Research Scientist']","Rated 4.6 out of 5 of 1,445 ratings",See all 309 reviews,2018-05-30,"['Home', 'Computer Science', 'Algorithms']",Big Data Analysis with Scala and Spark,https://www.coursera.org/learn/scala-spark-big-data
,"4 weeks of study, 2-4 hours/week",,Pass all graded assignments to complete the course.,English,Intermediate,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Neurohacking describes how to use the R programming language (https://cran.r-project.org/) and its associated package to perform manipulation, processing, and analysis of neuroimaging data. We focus on publicly-available structural magnetic resonance imaging (MRI). We discuss concepts such as inhomogeneity correction, image registration, and image visualization.

By the end of this course, you will be able to:

Read/write images of the brain in the NIfTI (Neuroimaging Informatics Technology Initiative) format
Visualize and explore these images
Perform inhomogeneity correction, brain extraction, and image registration (within a subject and to a template).",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Dr. Elizabeth Sweeney , Rice Academy Postdoctoral Fellow', 'Taught by:\xa0\xa0Ciprian M. Crainiceanu, Professor', 'Taught by:\xa0\xa0John Muschelli III , Assistant Scientist ']",Rated 4.6 out of 5 of 125 ratings,See all 24 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Introduction to Neurohacking In R,https://www.coursera.org/learn/neurohacking
Course 3 of 4 in the Introduction to Project Management Principles and Practices Specialization ,"4 weeks of study, 2-3 hours/week",,Pass all graded assignments to complete the course.,"English, Subtitles: Vietnamese",,4.7 starsAverage User Rating 4.7See what learners said,"About this course: This course will help you manage project risk effectively by identifying, analyzing, and communicating inevitable changes to project scope and objectives. You will understand and practice the elements needed to measure and report on project scope, schedule, and cost performance. You will be equipped with the tools to manage change in the least disruptive way possible for your team and other project stakeholders.

Upon completing this course, you will be able to:
1.       Define components of a communications management plan
2.       Understand the importance of communications channels
3.       Define the key elements needed to measure and report on project scope, schedule, and cost performance
4.       Identify project risk events
5.       Prioritize identified risks
6.       Develop responses for a high priority risk
7.       Identify and analyze changes to project scope
8.       Describe causes and effects of project changes
9.       Define the purpose of conducting a lessons learned session","Created by:  University of California, Irvine","['Taught by:\xa0\xa0Margaret  Meloni,  MBA, PMP, Instructor, University of California, Irvine Extension']","Rated 4.7 out of 5 of 2,472 ratings",See all 270 reviews,2018-05-30,"['Home', 'Business', 'Leadership and Management']",Managing Project Risks and Changes,https://www.coursera.org/learn/project-risk-management
,"8 weeks, 1-2 hours per week",,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Learn about legal framework of trademark registration, protection and enforcement in Russia. You can also compare Russian approach with international standards enshrined in relevant treaties and discover problematic arears of trademark protection in the Russia.

This course is on legal regulation of trademark protection in Russia. It explains the process of acquiring trademark in Russia, alternatives to trademark protection (such as firm names, trade names, names of origins), requirements for trademark validity, conditions under which trademarks are protected in Russia, scope of excusive trademark rights protection, peculiarities of assignment and licensing practice in Russia. The course also focuses on issues of trademark infringement, criteria applied by the Russian courts and relevant practice of the Russian Intellectual Property Court. It describes different remedies available to the trademark holders, including calculation of statutory damages under the Russian law for trademark infringement. 

Russian trademark legislation and case law do not have long historical roots. This is the reason why this area of the Russian law may be characterized as very dynamic. Examples will be given to illustrate successful legal solutions (for example, trademark protection in domain names, exhaustion of trademark rights) and ongoing search for proper and balanced regulation (for example, regulation of parallel imports, antitrust regulation in trademark law, application of fair use doctrine o trademarks).",Created by:  National Research University Higher School of Economics,"['Taught by:\xa0\xa0Vladislav Starzhenetsky, Associate Professor']",Rated 4.8 out of 5 of 41 ratings,See all 4 reviews,2018-05-30,"['Home', 'Social Sciences', 'Law']",Russian Trademark Law in Global Perspective,https://www.coursera.org/learn/russian-trademark-law
,,,Pass all graded assignments to complete the course.,English,Beginner,4.7 starsAverage User Rating 4.7See what learners said,"About this course: This course covers chemicals in our environment and in our bodies and how they impact our health. It addresses policies and practices related to chemicals, particularly related to how they get into our bodies (exposures), what they do when they get there (toxicology), how we measure them (biomonitoring) and their impact on our health.",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Dr. Megan Weil Latshaw, PhD, Co-Director of the Masters Programs in Environmental Health', 'Taught by:\xa0\xa0Beth A. Resnick, MPH, Associate Scientist']",Rated 4.7 out of 5 of 100 ratings,See all 18 reviews,2018-05-30,"['Home', 'Life Sciences', 'Clinical Science']",Chemicals and Health,https://www.coursera.org/learn/chemicals-health
